UserName,Handle,Timestamp,Comments,Likes,Retweets,Text
Charly Wargnier,@DataChaz,2019-10-25T07:41:49.000Z,"Huge.
@netflixoss
's #Polynote is a new open-source IDE which supports mixing multiple languages (#Scala, #Python & #SQL) in 1 notebook! 
Also built-in:
-#Intellisense autocomplete 
-Errors highlighting
-
@apachespark_
 integration 
-
@vega_vis
 plot editorOpen-sourcing Polynote: an IDE-inspired polyglot notebook
Jeremy Smith, Jonathan Indig, Faisal Siddiqi
netflixtechblog.com",1,1,5
The Elite Analyst,@TheEliteAnalyst,2019-10-24T15:44:28.000Z,#Polynote #ML #DataScience https://lnkd.in/ejCpCte,,,
The Elite Analyst,@TheEliteAnalyst,2019-10-24T15:17:18.000Z,#Polynote #ML #DataScience https://lnkd.in/eamaQDg,,,
invectorlabs,@invectorlabs,2019-10-24T12:59:57.000Z,Netflix Open Sources Polynote to Make Data Science Notebooks Better https://medium.com/p/netflix-open-sources-polynote-to-make-data-science-notebooks-better-8d6820535b25… #datascience #machinelearning #deeplearning #ArtificialIntelligence #InvectorLabs #NetflixOSS #NetflixResearch #Polynote,,,
Jesus Rodriguez,@jrdothoughts,2019-10-24T12:58:43.000Z,Netflix Open Sources Polynote to Make Data Science Notebooks Better https://medium.com/p/netflix-open-sources-polynote-to-make-data-science-notebooks-better-8d6820535b25… #datascience #machinelearning #deeplearning #ArtificialIntelligence #InvectorLabs #NetflixOSS #NetflixResearch #Polynote,,,
Tristan Piron,@PironTristan,2019-10-24T12:10:42.000Z,"Netflix open-sources Polynote to simplify data science and machine learning workflows https://venturebeat.com/2019/10/23/netflix-open-sources-polynote-to-simplify-data-science-and-machine-learning-workflows/… #polynoteNetflix open-sources Polynote to simplify data science and machine learning workflows
Netflix today open-sourced Polynote, a freely available tool designed to bolster data science and machine learning development.
venturebeat.com",,,
Josep Curto Díaz,@josepcurto,2019-10-24T06:09:51.000Z,"After #jupyterlab, #rnotebook, #apachezeppelin, now #polynote another #polyglot 
#notebook for #scala #python #datascience https://polynote.org",,3,2
Spiros Margaris,@SpirosMargaris,2019-10-24T00:31:01.000Z,"Netflix open-sources #Polynote 

to simplify #DataScience and #MachineLearning workflows 

https://buff.ly/33UP3oF #fintech #AI #ArtificialIntelligence #DeepLearning #BigData 
@KYLE_L_WIGGERS
 @VentureBeat
 @HaroldSinnott
 @mclynd
 @sallyeaves
 @horstwilmes
 @YuHelenYu
 @terence_mills",2,37,26
Lucio Albenga,@LucioAlbenga,2019-10-23T22:34:08.000Z,"Netflix libera Polynote una plataforma similar a Junyper con soporte Scala, integración Apache Spark, interoperabilidad en varios lenguajes, incluidos Scala, Python y SQL, autocompletado a medida que se escribe y más

#Polynote #Scala #ApacheSpark #PyhonOpen-sourcing Polynote: an IDE-inspired polyglot notebook
Jeremy Smith, Jonathan Indig, Faisal Siddiqi
netflixtechblog.com",,1,3
mark allen,@MarkAllen_Tech,2019-10-23T21:35:44.000Z,"Netflix open-sources Polynote to simplify data science and machine learning workflows   #polynote #datascienceNetflix open-sources Polynote to simplify data science and machine learning workflows
Netflix today open-sourced Polynote, a freely available tool designed to bolster data science and machine learning development.
venturebeat.com",,1,5
Linas Baltrunas,@LinasTw,2019-10-23T18:13:42.000Z,"@NetflixResearch
 open sourced polynote - a new notebook for spark/scala/python that I use every day and highly recommend. Among other features, it has great code completion and explicit information about status of spark kernel. https://medium.com/netflix-techblog/open-sourcing-polynote-an-ide-inspired-polyglot-notebook-7f929d3f447… #scala #polynote #ml #sparkOpen-sourcing Polynote: an IDE-inspired polyglot notebook
Jeremy Smith, Jonathan Indig, Faisal Siddiqi
netflixtechblog.com",3,7,20
Itay Niv,@Itay_niv,2018-07-10T17:33:28.000Z,"If you happen to be in New York this week go check out amazing #liminalinstruments show happening in 
@WhiteBoxNY
 . I’m showing my #Polynote interactive music instrument there along with other amazing music projects from talented 
@itp_nyu
 student and alumni.",,,1
zumay@,zumay@,2016-12-30T09:46:01.000Z,"Replying to 
@zumaya1217・連続ノーツは高難易度曲だと少し叩きにくい。(覚えるしかない)
・色、形の違いがあるが、いまいちよくわかんね。
・「長押しでスタート」めっちゃ楽なんですけど
・iPad Airでは判定-5前後かな？

というかこれほぼ #ToneSphere じゃねーか！

#polynote",,,1
zumay@,zumay@,2016-12-30T09:38:57.000Z,"#polynote α版

画像あげていいのかわからないけどあげます
ちょっとした感想も(フィードバックは送りました)

・トランスの曲多いからタイトルもトランス曲
(空っぽい背景)

・オプションの解説が丁寧",1,,1
