UserName,Handle,Timestamp,Comments,Likes,Retweets,Text
dazfuller,@dazfuller,2020-01-18T10:34:18.000Z,"After finally spotting my notification that there had been _2_ updates to #polynote, I have updated my 
@Azure
 template to deploy it :)dazfuller/azure-arm-polynote-vm
ARM template for deploying a Polynote server. Contribute to dazfuller/azure-arm-polynote-vm development by creating an account on GitHub.
github.com",1,,
shaun ryan,@Si_ShaunRyan,2020-01-01T09:41:18.000Z,"@databricks
 I'd like to see this kind of experience in #databricks this year https://polynote.org #polynote and some UI improvements. ",,,
dazfuller,@dazfuller,2019-12-29T15:53:39.000Z,"New Release: Updated the #Azure #Polynote VM template. New in this version

* Updated #Polynote to version 0.2.15
* Changed to distribution targeting #Scala 2.11
* Fixed configuration which was preventing spark context from starting
* Updated README

https://github.com/dazfuller/azure-arm-polynote-vm…",,2,
dazfuller,@dazfuller,2019-12-28T10:30:40.000Z,"Now updated to use version 0.2.14 of #polynotedazfuller/azure-arm-polynote-vm
ARM template for deploying a Polynote server. Contribute to dazfuller/azure-arm-polynote-vm development by creating an account on GitHub.
github.com",,,
Eamonn Maguire,@antarcticdesign,2019-12-27T11:22:39.000Z,"Has anyone tried #polynote yet as a replacement for 
@ProjectJupyter
 ? Looks awesome! https://polynote.org #DataScience #visualization",,3,1
Ben Hur,@benhur07b,2019-12-25T14:27:52.000Z,"Hmmm. Interesting. Will try to look into #Polynote.Quote Tweet
Paul Blaser
@paulblaser
 · Dec 25, 2019
“Polynote: the new Jupyter?” by Tom Titcombe https://link.medium.com/TIcqFxISH2",,,1
Juarez Junior,@juarezjunior,2019-12-22T14:52:35.000Z,"#Polynote: the new #Jupyter? by Tom Titcombe in 
@TDataSciencePolynote: the new Jupyter?
There is a lot of buzz surrounding Polynote, Netflix’s multi-language notebook. But is it the Jupyter-killer, or is it all hype?
towardsdatascience.com",,,
Sanjeev Kumar,@dataPlumbers,2019-12-17T08:24:53.000Z,"Interesting to discover Netflix’s ‘#Jupyter Killer’ notebook #Polynote. Differentiators: Cell-based multi-language (#python, #scala, #sql) support, a simpler #IDE instead of a nicer #REPL, native data visualization and built-in dependency management.What You Need to Know About Netflix’s ‘Jupyter Killer’: Polynote
It’s about time Jupyter Notebook has its worthy competitor
towardsdatascience.com",,,2
Gittaca,@gittaca,2019-12-15T12:58:52.000Z,"#PhDChat #RShiny #Jupyter #RMarkdown #Polynote #WritingCommunity #ClimateChangeQuote Tweet
Sacha Saint-Leger
@ssaintleger
 · Feb 16, 2019
'Today, even the most modern writing tools are designed around typing in words, not facts. These tools are suitable for promoting preconceived ideas... they encourage authors to fool themselves, and fool others.'
http://worrydream.com/ClimateChange/#tools-technical…",,,1
Filippo Rottoli,@Filippo_Rott,2019-12-12T21:34:38.000Z,"I’d love to have 
@NetflixOSS
 #Polynote polyglot notebook available for SageMaker in addition to 
@ProjectJupyter
 #AWSWishlist",1,,
